timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1779780535407,1697,1 - Request,404,,Distribute Testing Practice 1-64,text,false,867,1665,1,1,,0,1561
1779780545100,0,Debug Sampler,200,OK,Distribute Testing Practice 1-64,text,true,356,0,1,0,,0,0
1779780535405,1711,1 - Request,404,,Distribute Testing Practice 1-11,text,false,867,1649,1,1,,0,1508
1779780535401,1705,1 - Request,404,,Distribute Testing Practice 1-48,text,false,867,1670,1,1,,0,1396
1779780536031,1074,1 - Request,404,,Distribute Testing Practice 1-71,text,false,867,1041,1,1,,0,923
1779780545103,0,Debug Sampler,200,OK,Distribute Testing Practice 1-71,text,true,357,0,1,0,,0,0
1779780545103,1,Debug Sampler,200,OK,Distribute Testing Practice 1-48,text,true,357,0,1,0,,0,0
1779780537170,3,1 - Request,404,,Distribute Testing Practice 1-88,text,false,867,3,1,1,,0,2
1779780535405,1708,1 - Request,404,,Distribute Testing Practice 1-51,text,false,867,1664,1,1,,0,1505
1779780545106,0,Debug Sampler,200,OK,Distribute Testing Practice 1-51,text,true,357,0,1,0,,0,0
1779780535354,1761,1 - Request,404,,Distribute Testing Practice 1-70,text,false,867,1714,1,1,,0,1688
1779780535409,1688,1 - Request,404,,Distribute Testing Practice 1-67,text,false,867,1688,1,1,,0,1555
1779780545109,0,Debug Sampler,200,OK,Distribute Testing Practice 1-67,text,true,357,0,1,0,,0,0
1779780536509,611,1 - Request,404,,Distribute Testing Practice 1-80,text,false,867,545,1,1,,0,497
1779780536030,1085,1 - Request,404,,Distribute Testing Practice 1-76,text,false,867,1024,1,1,,0,1005
1779780545110,1,Debug Sampler,200,OK,Distribute Testing Practice 1-76,text,true,357,0,1,0,,0,0
1779780535405,1709,1 - Request,404,,Distribute Testing Practice 1-16,text,false,867,1663,1,1,,0,1506
1779780545114,0,Debug Sampler,200,OK,Distribute Testing Practice 1-16,text,true,357,0,1,0,,0,0
1779780535398,1736,1 - Request,404,,Distribute Testing Practice 1-57,text,false,867,1736,1,1,,0,1560
1779780535404,1718,1 - Request,404,,Distribute Testing Practice 1-8,text,false,867,1654,1,1,,0,1619
1779780545116,0,Debug Sampler,200,OK,Distribute Testing Practice 1-8,text,true,355,0,1,0,,0,0
